id,pm_template_id,step_number,task_description,expected_input_type,standard_text_expected,standard_min_value,standard_max_value,is_critical,remarks
PMTD-CTC-TRFM-CM-YR-01,PMT-CTC-SYS034-EQ035-YR,1,ตรวจเช็คหม้อแปลง,Text,เสร็จสมบูรณ์,,,true,โดยช่างจากการไฟฟ้า (สำหรับออฟฟิศเชียงใหม่)
PMTD-CTC-TRFM-HD-YR-01,PMT-CTC-SYS014-EQ035-YR,1,ตรวจเช็คหม้อแปลง,Text,เสร็จสมบูรณ์,,,true,โดยช่างจากการไฟฟ้า
PMTD-CTC-TRFM-YR-01,PMT-CTC-SYS034-EQ035-YR,1,บำรุงรักษาใหญ่,Text,เสร็จสมบูรณ์,,,true,โดยผู้เชี่ยวชาญ
PMTD-CTC-VS-HD-3MTH-01,PMT-CTC-SYS013-EQ033-3MTH,1,ตรวจสอบจุดยึดและสกรู,Text,แน่นหนา,,,true,
PMTD-CTC-VS-HD-3MTH-02,PMT-CTC-SYS013-EQ033-3MTH,2,ตรวจวัดกระแสไฟฟ้ามอเตอร์,Number,,,,true,
PMTD-CTC-VS-HD-3MTH-03,PMT-CTC-SYS013-EQ033-3MTH,3,ตรวจสอบจุดร้อน (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-CTC-VS-HD-MTH-01,PMT-CTC-SYS013-EQ033-MTH,1,ตรวจสอบการทำงาน (เปิด-ปิดปกติ),Text,ปกติ,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-VS-HD-MTH-02,PMT-CTC-SYS013-EQ033-MTH,2,ตรวจสอบเสียงผิดปกติ,Text,ไม่มี,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-VS-HD-MTH-03,PMT-CTC-SYS013-EQ033-MTH,3,ตรวจสอบความสะอาดโดยรวม,Text,สะอาด,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-CTC-VS-HD-MTH-04,PMT-CTC-SYS013-EQ033-MTH,4,ตรวจสอบการสั่นสะเทือนผิดปกติ,Text,ไม่มี,,,false,ทำใบ Checklist ให้พนักงานตรวจสอบ
PMTD-LAK-AC-3MTH-01,PMT-LAK-SYS007-EQ020-3MTH,1,ตรวจสอบระบบไฟฟ้า,Text,ปกติ,,,true,
PMTD-LAK-AC-3MTH-02,PMT-LAK-SYS007-EQ020-3MTH,2,วัดกระแสไฟฟ้ามอเตอร์,Number,,,,true,Ampere
PMTD-LAK-AC-6MTH-01,PMT-LAK-SYS007-EQ020-6MTH,1,เปลี่ยนถ่ายน้ำมันเครื่อง,Text,เสร็จสมบูรณ์,,,true,
PMTD-LAK-AC-6MTH-02,PMT-LAK-SYS007-EQ020-6MTH,2,เปลี่ยนไส้กรองอากาศ,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-AC-MTH-01,PMT-LAK-SYS007-EQ020-MTH,1,ตรวจสอบระดับน้ำมัน,Text,ปกติ,,,true,
PMTD-LAK-AC-MTH-02,PMT-LAK-SYS007-EQ020-MTH,2,ตรวจสอบไส้กรอง,Text,ปกติ / สะอาด,,,false,
PMTD-LAK-AC-MTH-03,PMT-LAK-SYS007-EQ020-MTH,3,ตรวจสอบสายพาน (ความตึง/สึกหรอ),Text,ปกติ,,,false,
PMTD-LAK-AC-MTH-04,PMT-LAK-SYS007-EQ020-MTH,4,ตรวจสอบ Pressure Switch,Text,ปกติ,,,true,
PMTD-LAK-AC-MTH-05,PMT-LAK-SYS007-EQ020-MTH,5,ตรวจสอบการรั่วซึม (โดยละเอียด),Text,ไม่มี,,,true,
PMTD-LAK-AC-WKLY-01,PMT-LAK-SYS007-EQ020-WKLY,1,ตรวจความสะอาด,Text,สะอาด,,,false,
PMTD-LAK-AC-WKLY-02,PMT-LAK-SYS007-EQ020-WKLY,2,ตรวจสอบระดับน้ำมัน,Text,ปกติ,,,true,
PMTD-LAK-AC-WKLY-03,PMT-LAK-SYS007-EQ020-WKLY,3,ตรวจสอบการรั่วซึม,Text,ไม่มี,,,true,
PMTD-LAK-AC-WKLY-04,PMT-LAK-SYS007-EQ020-WKLY,4,ตรวจสอบสภาพสายพาน,Text,ปกติ,,,false,
PMTD-LAK-AC-WKLY-05,PMT-LAK-SYS007-EQ020-WKLY,5,ตรวจสอบเสียง/สั่นสะเทือน,Text,ไม่มี,,,true,
PMTD-LAK-AC-WKLY-06,PMT-LAK-SYS007-EQ020-WKLY,6,ทำความสะอาดกรอกอากาศ,Text,สะอาด,,,false,
PMTD-LAK-AC-WKLY-07,PMT-LAK-SYS007-EQ020-WKLY,7,ถ่ายน้ำทิ้งในถังพักลม,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-CC-3MTH-01,PMT-LAK-SYS002-EQ004-3MTH,1,ทดสอบ Alarm Test,Text,ผ่าน,,,true,
PMTD-LAK-CC-3MTH-02,PMT-LAK-SYS002-EQ004-3MTH,2,ตรวจสอบแบตเตอรี่สำรอง,Text,ปกติ,,,false,
PMTD-LAK-CC-6MTH-01,PMT-LAK-SYS002-EQ004-6MTH,1,ตรวจสอบความแม่นยำของเซ็นเซอร์,Text,ปกติ,,,true,อาจต้องใช้เครื่องมือสอบเทียบ
PMTD-LAK-CC-MTH-01,PMT-LAK-SYS002-EQ004-MTH,1,ทำความสะอาดเซ็นเซอร์และตัวเครื่อง,Text,สะอาด,,,false,
PMTD-LAK-CC-MTH-02,PMT-LAK-SYS002-EQ004-MTH,2,บันทึกค่าอุณหภูมิ (T),Number,,,,true,ระบุ °C
PMTD-LAK-CC-MTH-03,PMT-LAK-SYS002-EQ004-MTH,3,บันทึกค่าความชื้น (H),Number,,,,true,ระบุ %
PMTD-LAK-CDS-MTH-01,PMT-LAK-SYS004-EQ011-MTH,1,ตรวจสอบสภาพ Dosing Pump (การรั่วซึม/การสั่น),Text,ปกติ / ไม่มีรั่วซึม,,,true,
PMTD-LAK-CDS-MTH-02,PMT-LAK-SYS004-EQ011-MTH,2,ทำความสะอาดหัวฉีดคลอรีน,Text,สะอาด / ไม่มีการอุดตัน,,,false,ควรทำ 2 ครั้งต่อเดือน หากสามารถทำได้
PMTD-LAK-CDS-MTH-03,PMT-LAK-SYS004-EQ011-MTH,3,ตรวจสอบสายดูด/สายจ่ายคลอรีน,Text,ปกติ (ไม่มีรอยแตก/รั่ว),,,false,
PMTD-LAK-CDS-WKLY-01,PMT-LAK-SYS004-EQ011-WKLY,1,ทดสอบการเปิด-ปิดระบบจ่ายคลอรีน,Text,ทำงานปกติ,,,true,
PMTD-LAK-CDS-WKLY-02,PMT-LAK-SYS004-EQ011-WKLY,2,ตรวจสอบสถานะการทำงานของปั๊มจ่ายคลอรีน,Text,ปกติ (ไม่มีเสียง/สั่นผิดปกติ),,,true,
PMTD-LAK-CDS-WKLY-03,PMT-LAK-SYS004-EQ011-WKLY,3,ตรวจสอบการจ่ายคลอรีน (ด้วยสายตา/ทดสอบน้ำ),Text,จ่ายคลอรีนได้ปกติ,,,true,
PMTD-LAK-CDS-WKLY-04,PMT-LAK-SYS004-EQ011-WKLY,4,ตรวจสอบระดับคลอรีนในถัง,Text,เพียงพอ / เติม,,,true,
PMTD-LAK-CP-3MTH-01,PMT-LAK-SYS002-EQ006-3MTH,1,ตรวจเช็คระบบควบคุม (รับคำสั่งจาก Controller),Text,ปกติ,,,true,
PMTD-LAK-CP-MTH-01,PMT-LAK-SYS002-EQ006-MTH,1,ตรวจสอบการทำงาน (ปั๊ม),Text,ปกติ,,,true,
PMTD-LAK-CP-MTH-02,PMT-LAK-SYS002-EQ006-MTH,2,ตรวจสอบการทำงาน (ลูกลอย),Text,ปกติ,,,true,
PMTD-LAK-CP-MTH-03,PMT-LAK-SYS002-EQ006-MTH,3,ตรวจสอบการทำงาน (เซ็นเซอร์),Text,ปกติ,,,true,
PMTD-LAK-CP-MTH-04,PMT-LAK-SYS002-EQ006-MTH,4,ทำความสะอาดไส้กรองปั๊ม,Text,สะอาด,,,false,
PMTD-LAK-CT-6MTH-01,PMT-LAK-SYS004-EQ013-6MTH,1,ตรวจสอบโครงสร้างภายนอก,Text,ปกติ,,,false,
PMTD-LAK-CT-6MTH-02,PMT-LAK-SYS004-EQ013-6MTH,2,ตรวจสอบการทำงานของ Pressure Switch,Text,ปกติ,,,true,
PMTD-LAK-CT-6MTH-03,PMT-LAK-SYS004-EQ013-6MTH,3,ตรวจสอบการทำงานของเกจ,Text,ปกติ,,,false,
PMTD-LAK-CT-6MTH-04,PMT-LAK-SYS004-EQ013-6MTH,4,ตรวจสอบการทำงานของลูกลอย,Text,ปกติ,,,false,
PMTD-LAK-DSS-3MTH-01,PMT-LAK-SYS008-EQ021-3MTH,1,อัดจาระบี,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-DSS-3MTH-02,PMT-LAK-SYS008-EQ021-3MTH,2,ตรวจสอบซีล,Text,ปกติ / ไม่มีรั่วซึม,,,true,
PMTD-LAK-DSS-6MTH-01,PMT-LAK-SYS008-EQ021-6MTH,1,เปลี่ยนถ่ายน้ำมันเครื่องของปั๊ม,Text,เสร็จสมบูรณ์,,,true,
PMTD-LAK-DSS-MTH-01,PMT-LAK-SYS008-EQ021-MTH,1,ตรวจสอบสภาพปั๊ม/มอเตอร์/สายพาน,Text,ปกติ,,,true,
PMTD-LAK-DSS-MTH-02,PMT-LAK-SYS008-EQ021-MTH,2,ตรวจสอบการทำงานของวาล์ว/เกจ,Text,ปกติ,,,true,
PMTD-LAK-DSS-MTH-03,PMT-LAK-SYS008-EQ021-MTH,3,ทำความสะอาดหัวสเปรย์ (โรงรถยนต์),Text,สะอาด,,,false,
PMTD-LAK-DSS-MTH-04,PMT-LAK-SYS008-EQ021-MTH,4,ทำความสะอาดห้องอาบน้ำสเปรย์,Text,สะอาด,,,false,
PMTD-LAK-DSS-MTH-05,PMT-LAK-SYS008-EQ021-MTH,5,ทำความสะอาดห้องสเปรย์หน้าป้อม,Text,สะอาด,,,false,
PMTD-LAK-ECS-3MTH-01,PMT-LAK-SYS003-EQ009-3MTH,1,หยอดน้ำมันโซ่,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-ECS-3MTH-02,PMT-LAK-SYS003-EQ009-3MTH,2,ตรวจสอบระบบควบคุมอัตโนมัติ,Text,ปกติ,,,true,
PMTD-LAK-ECS-6MTH-01,PMT-LAK-SYS003-EQ009-6MTH,1,อัดจาระบี,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-ECS-6MTH-02,PMT-LAK-SYS003-EQ009-6MTH,2,ตรวจระดับน้ำมันหล่อลื่น,Text,ปกติ,,,true,
PMTD-LAK-ECS-MTH-01,PMT-LAK-SYS003-EQ009-MTH,1,ตรวจสอบความสะอาดสายพาน,Text,สะอาด,,,false,
PMTD-LAK-ECS-MTH-02,PMT-LAK-SYS003-EQ009-MTH,2,ตรวจสอบการทำงานของสายพาน,Text,ปกติ,,,true,
PMTD-LAK-ECS-MTH-03,PMT-LAK-SYS003-EQ009-MTH,3,ตรวจสอบการทำงานของมอเตอร์,Text,ปกติ,,,true,
PMTD-LAK-ECS-MTH-04,PMT-LAK-SYS003-EQ009-MTH,4,ตรวจสอบการทำงานของเซ็นเซอร์,Text,ปกติ,,,true,
PMTD-LAK-EGM-3MTH-01,PMT-LAK-SYS006-EQ018-3MTH,1,ตรวจสอบระบบไฟฟ้า/Load Cell,Text,ปกติ,,,true,
PMTD-LAK-EGM-3MTH-02,PMT-LAK-SYS006-EQ018-3MTH,2,ตรวจความสะอาดลูกกลิ้ง,Text,สะอาด,,,false,
PMTD-LAK-EGM-3MTH-03,PMT-LAK-SYS006-EQ018-3MTH,3,หล่อลื่นบางส่วน,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-EGM-6MTH-01,PMT-LAK-SYS006-EQ018-6MTH,1,หล่อลื่นจุดเข้าถึงยาก,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-EGM-6MTH-02,PMT-LAK-SYS006-EQ018-6MTH,2,ตรวจสอบจุดร้อน (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-LAK-EGM-MTH-01,PMT-LAK-SYS006-EQ018-MTH,1,ทำความสะอาดตู้ไฟฟ้า,Text,สะอาด,,,false,
PMTD-LAK-EGM-MTH-02,PMT-LAK-SYS006-EQ018-MTH,2,ตรวจสอบ Bucket/ระบบลม,Text,ปกติ,,,true,
PMTD-LAK-EGM-MTH-03,PMT-LAK-SYS006-EQ018-MTH,3,หล่อลื่น (โซ่/เฟืองพลาสติก),Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-EGM-YR-01,PMT-LAK-SYS006-EQ018-YR,1,ตรวจสอบและปรับตั้ง Timing Transfer,Text,เสร็จสมบูรณ์,,,true,Outsource
PMTD-LAK-FS-3MTH-01,PMT-LAK-SYS003-EQ008-3MTH,1,หยอดน้ำมันโซ่,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-FS-3MTH-02,PMT-LAK-SYS003-EQ008-3MTH,2,ตรวจสอบระบบควบคุมอัตโนมัติ,Text,ปกติ,,,true,
PMTD-LAK-FS-6MTH-01,PMT-LAK-SYS003-EQ008-6MTH,1,อัดจาระบีตามจุดที่กำหนด,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-FS-MTH-01,PMT-LAK-SYS003-EQ008-MTH,1,ตรวจสอบความสะอาด,Text,สะอาด,,,false,
PMTD-LAK-FS-MTH-02,PMT-LAK-SYS003-EQ008-MTH,2,ตรวจสอบการทำงานของมอเตอร์,Text,ปกติ,,,true,
PMTD-LAK-FS-MTH-03,PMT-LAK-SYS003-EQ008-MTH,3,ตรวจสอบการทำงานของเซ็นเซอร์,Text,ปกติ,,,true,
PMTD-LAK-GEN-6MTH-01,PMT-LAK-SYS001-EQ001-6MTH,1,วัดค่าความต้านทานดิน,Number,,0,5,true,ค่าความต้านทานดิน (Ohm)
PMTD-LAK-GEN-MTH-01,PMT-LAK-SYS001-EQ001-MTH,1,เวลาในการทดสอบ,Number,,,,true,ระบุเวลา (นาที)
PMTD-LAK-GEN-MTH-02,PMT-LAK-SYS001-EQ001-MTH,2,บันทึกชั่วโมงการทำงานสะสม,Number,,,,true,จำนวนชั่วโมง
PMTD-LAK-GEN-MTH-03,PMT-LAK-SYS001-EQ001-MTH,3,บันทึกจำนวนครั้งที่สตาร์ท,Number,,,,false,จำนวนครั้ง
PMTD-LAK-GEN-MTH-04,PMT-LAK-SYS001-EQ001-MTH,4,เช็คแรงดันแบตเตอรี่,Number,,12,13.7,true,V
PMTD-LAK-GEN-MTH-05,PMT-LAK-SYS001-EQ001-MTH,5,ความเร็วรอบ (RPM),Number,,,,true,ระบุ RPM
PMTD-LAK-GEN-MTH-06,PMT-LAK-SYS001-EQ001-MTH,6,อุณหภูมิน้ำมันเครื่อง,Number,,,,true,ระบุ °C
PMTD-LAK-GEN-MTH-07,PMT-LAK-SYS001-EQ001-MTH,7,แรงดันน้ำมันเครื่อง,Number,,,,true,ระบุ Bar/PSI
PMTD-LAK-GEN-MTH-08,PMT-LAK-SYS001-EQ001-MTH,8,อุณหภูมิน้ำระบายความร้อน,Number,,,,true,ระบุ °C
PMTD-LAK-GEN-MTH-09,PMT-LAK-SYS001-EQ001-MTH,9,บันทึกแรงดัน L-N (Volt),Number,,,,true,ระบุ Volt
PMTD-LAK-GEN-MTH-10,PMT-LAK-SYS001-EQ001-MTH,10,บันทึกแรงดัน L-L (Volt),Number,,,,true,ระบุ Volt
PMTD-LAK-GEN-MTH-11,PMT-LAK-SYS001-EQ001-MTH,11,ตรวจจุดร้อนสายไฟ (PdM),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-LAK-GEN-MTH-12,PMT-LAK-SYS001-EQ001-MTH,12,วัดแรงลมหลังหม้อน้ำ (PdM),Number,,,,false,ค่าแรงลม (CFM)
PMTD-LAK-GEN-WKLY-01,PMT-LAK-SYS001-EQ001-WKLY,1,ตรวจความสะอาด,Text,สะอาด,,,false,
PMTD-LAK-GEN-WKLY-02,PMT-LAK-SYS001-EQ001-WKLY,2,ตรวจเช็คระดับน้ำมันเครื่อง,Text,ปกติ,,,true,
PMTD-LAK-GEN-WKLY-03,PMT-LAK-SYS001-EQ001-WKLY,3,ตรวจเช็คระดับน้ำหล่อเย็น,Text,ปกติ,,,true,
PMTD-LAK-GEN-WKLY-04,PMT-LAK-SYS001-EQ001-WKLY,4,ตรวจเช็คระดับน้ำมันเชื้อเพลิง,Text,ปกติ,,,true,
PMTD-LAK-GEN-WKLY-05,PMT-LAK-SYS001-EQ001-WKLY,5,ตรวจเช็คระดับน้ำกลั่นแบตเตอรี่ (ถ้ามี),Text,ปกติ,,,false,
PMTD-LAK-GEN-WKLY-06,PMT-LAK-SYS001-EQ001-WKLY,6,ตรวจสอบการรั่วซึม,Text,ไม่มี,,,true,"น้ำมัน, น้ำ, เชื้อเพลิง"
PMTD-LAK-GEN-WKLY-07,PMT-LAK-SYS001-EQ001-WKLY,7,ตรวจสอบสภาพและความตึงสายพาน,Text,ปกติ,,,false,
PMTD-LAK-GEN-WKLY-08,PMT-LAK-SYS001-EQ001-WKLY,8,ตรวจสอบขั้วแบตเตอรี่,Text,แน่นหนา / สะอาด,,,false,"แน่นหนา, ไม่มีคราบขี้เกลือ"
PMTD-LAK-GEN-WKLY-09,PMT-LAK-SYS001-EQ001-WKLY,9,ทดสอบเดินเครื่อง (No Load) 10 นาที,Text,ปกติ,,,true,
PMTD-LAK-GEN-WKLY-10,PMT-LAK-SYS001-EQ001-WKLY,10,ตรวจสอบเสียงการทำงาน,Text,ปกติ,,,false,
PMTD-LAK-GEN-WKLY-11,PMT-LAK-SYS001-EQ001-WKLY,11,ตรวจสอบการสั่นสะเทือน,Text,ปกติ,,,false,
PMTD-LAK-GEN-WKLY-12,PMT-LAK-SYS001-EQ001-WKLY,12,ตรวจสอบแรงดันแบตเตอรี่,Number,,12,13.7,true,ค่าแรงดันแบตเตอรี่ (V)
PMTD-LAK-GEN-YR-01,PMT-LAK-SYS001-EQ001-YR,1,"บำรุงรักษาใหญ่ (เปลี่ยนถ่ายน้ำมัน, ไส้กรอง)",Text,เสร็จสมบูรณ์,,,true,โดยผู้เชี่ยวชาญภายนอก
PMTD-LAK-LS-3MTH-01,PMT-LAK-SYS002-EQ007-3MTH,1,ตรวจสอบระบบควบคุมแสงสว่าง (Timer / Dimmer),Text,ปกติ,,,false,
PMTD-LAK-MB-3MTH-01,PMT-LAK-SYS003-EQ010-3MTH,1,หยอดน้ำมันโซ่,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-MB-3MTH-02,PMT-LAK-SYS003-EQ010-3MTH,2,ตรวจสอบระบบควบคุม,Text,ปกติ,,,true,
PMTD-LAK-MB-6MTH-01,PMT-LAK-SYS003-EQ010-6MTH,1,อัดจาระบี,Text,เสร็จสมบูรณ์,,,false,
PMTD-LAK-MB-6MTH-02,PMT-LAK-SYS003-EQ010-6MTH,2,ตรวจสอบสภาพลูกปืน/เฟือง/ลูกกลิ้ง,Text,ปกติ,,,true,
PMTD-LAK-MB-MTH-01,PMT-LAK-SYS003-EQ010-MTH,1,ตรวจสอบการทำงานของสายพาน,Text,ปกติ,,,true,
PMTD-LAK-MB-MTH-02,PMT-LAK-SYS003-EQ010-MTH,2,ตรวจสอบการทำงานของมอเตอร์,Text,ปกติ,,,true,
PMTD-LAK-MDB-3MTH-01,PMT-LAK-SYS001-EQ002-3MTH,1,วัดโหลด,Number,,,,true,
PMTD-LAK-MDB-3MTH-02,PMT-LAK-SYS001-EQ002-3MTH,2,ตรวจสอบสภาพ Capacitor Bank,Text,ปกติ,,,true,
PMTD-LAK-MDB-3MTH-03,PMT-LAK-SYS001-EQ002-3MTH,3,ทำ PdM (ตรวจจุดร้อน),Text,ไม่มีจุดร้อนผิดปกติ,,,true,
PMTD-LAK-MDB-6MTH-01,PMT-LAK-SYS001-EQ002-6MTH,1,ขันแน่นจุดเชื่อมต่อสายไฟ,Text,แน่นหนา,,,true,
PMTD-LAK-MDB-6MTH-02,PMT-LAK-SYS001-EQ002-6MTH,2,ตรวจวัดค่า Capacitor,Number,,,,true,
PMTD-LAK-MDB-6MTH-03,PMT-LAK-SYS001-EQ002-6MTH,3,วัดค่าความต้านทานดิน,Number,,0,5,true,Ohm
PMTD-LAK-MDB-MTH-01,PMT-LAK-SYS001-EQ002-MTH,1,ทำความสะอาดตู้,Text,สะอาด,,,false,
PMTD-LAK-MDB-MTH-02,PMT-LAK-SYS001-EQ002-MTH,2,ตรวจสอบมิเตอร์/หลอดไฟสถานะ,Text,ปกติ,,,false,
PMTD-LAK-MDB-MTH-03,PMT-LAK-SYS001-EQ002-MTH,3,ตรวจสอบเสียงการทำงานผิดปกติ,Text,ไม่มี,,,false,
PMTD-LAK-MDB-MTH-04,PMT-LAK-SYS001-EQ002-MTH,4,ตรวจสอบกลิ่นไหม้/ผิดปกติ,Text,ไม่มี,,,true,
PMTD-LAK-MDB-MTH-05,PMT-LAK-SYS001-EQ002-MTH,5,ตรวจสอบความร้อนผิดปกติ (สัมผัสภายนอก),Text,ไม่มี,,,true,
PMTD-LAK-MDB-MTH-06,PMT-LAK-SYS001-EQ002-MTH,6,ตรวจสอบสภาพสายไฟและจุดเชื่อมต่อภายนอก,Text,ปกติ,,,false,สภาพฉนวนไม่มีรอยไหม้/แตก
PMTD-LAK-MDB-MTH-07,PMT-LAK-SYS001-EQ002-MTH,7,ตรวจสอบการทำงานของเบรกเกอร์หลัก,Text,ปกติ (ไม่ Trip),,,true,ตรวจสอบด้วยสายตาว่าไม่มีการ Trip
PMTD-LAK-MDB-YR-01,PMT-LAK-SYS001-EQ002-YR,1,"บำรุงรักษาใหญ่ (Trip Test, วัดค่าฉนวน)",Text,เสร็จสมบูรณ์,,,true,โดยผู้เชี่ยวชาญ
PMTD-LAK-MWP-3MTH-01,PMT-LAK-SYS004-EQ012-3MTH,1,วัดกระแสมอเตอร์,Number,,,,true,
PMTD-LAK-MWP-3MTH-02,PMT-LAK-SYS004-EQ012-3MTH,2,ตรวจสอบตู้ควบคุม,Text,ปกติ,,,true,
PMTD-LAK-MWP-MTH-01,PMT-LAK-SYS004-EQ012-MTH,1,ตรวจสอบการทำงาน (เสียง/สั่น/ร้อน),Text,ปกติ,,,true,
PMTD-LAK-MWP-MTH-02,PMT-LAK-SYS004-EQ012-MTH,2,ตรวจสอบ Flow Sensor/Alarm,Text,ปกติ,,,true,
PMTD-LAK-TRFM-6MTH-01,PMT-LAK-SYS001-EQ003-6MTH,1,ตรวจสอบสายดิน,Text,ปกติ / แน่นหนา,,,true,
PMTD-LAK-TRFM-6MTH-02,PMT-LAK-SYS001-EQ003-6MTH,2,วัดค่าความต้านทานดิน,Number,,0,5,true,Ohm
PMTD-LAK-TRFM-MTH-01,PMT-LAK-SYS001-EQ003-MTH,1,ตรวจสี Silica Gel,Text,ปกติ,,,false,(สีน้ำเงิน)
PMTD-LAK-TRFM-MTH-02,PMT-LAK-SYS001-EQ003-MTH,2,ตรวจอุณหภูมิหม้อแปลง,Number,,,,true,ระบุ °C
PMTD-LAK-TRFM-YR-01,PMT-LAK-SYS001-EQ003-YR,1,บำรุงรักษาใหญ่,Text,เสร็จสมบูรณ์,,,true,โดยผู้เชี่ยวชาญ
PMTD-LAK-VS-3MTH-01,PMT-LAK-SYS002-EQ005-3MTH,1,ทดสอบระบบควบคุม,Text,ปกติ,,,true,
